"Replicate","Scenario","Behaviour","groupSize","Model","Trap.effort","Days.monitored","nDet","Dhat","Dhat.se","Dhat.lo","Dhat.hi","y","y.mean","y.sd","g.mean","g.sd","g.max","v","v.se","act","act.se","edr.model","edr","edr.se","edr.AIC","chat","gof_chisq","gof_df","gof_rel"
1,"med","sol",NA,"REM",25,50,296,1.87629642996279,0.495391270163065,NA,NA,71,2.84,3.46025047262959,1,0,1,10217.4778723655,513.513038094539,1,0,"hr0",3.44976813020363,0.346611576300696,293.393828108674,2.7264,10.4881477736156,7,0.147720391177684
1,"med","grp",5,"REM",25,50,652,3.27976617282356,0.796809688715313,NA,NA,139,5.56,6.72111101926857,1.04444444444444,0.206847938475928,2,9709.49810229282,330.347576864549,1,0,"hr0",4.06585467696282,0.194760007143165,552.573924339612,5.3376,23.58883926533,7,0.169703879606691
1,"lo","sol",NA,"REM",100,50,96,0.131448448530921,0.0314715020172472,NA,NA,34,0.34,0.606696635956396,1,0,1,17471.5204072326,1735.94819297417,1,0,"hr0",3.44754129151187,0.400674711022772,131.928862533758,0.3366,8.42073405797252,7,0.247668648763897
1,"lo","sol",NA,"REM",25,50,34,0.130530718898076,0.0723607299693504,NA,NA,10,0.4,0.707106781186548,1,0,1,16924.8666056266,2622.77440900893,1,0,"hr0",4.21637015685353,1.70688356132359,33.3358299414888,0.384,1.85291000331287,7,0.185291000331287
1,"med","grp",25,"REM",25,50,536,2.3436527425416,0.492350248824797,NA,NA,115,4.6,4.72581562625261,1.13592233009709,0.371761669630265,3,10932.3228004496,381.59395809976,1,0,"hr0",4.18089100557574,0.204119832982777,463.312916744595,4.416,32.8276916812716,7,0.285458188532796
1,"med","sol",NA,"REM",100,50,1812,2.51418655275288,0.244116759864737,NA,NA,395,3.95,3.56859194709181,1,0,1,10338.6955190405,185.83128888971,1,0,"hr0",3.53875564310702,0.137799702350711,1620.43097160269,3.9105,53.2706246061779,7,0.134862340775134
1,"med","grp",25,"REM",100,50,1968,2.33985814639796,0.453372420057088,NA,NA,413,4.13,7.88766457991543,1.08571428571429,0.339160377852074,4,9859.14745209411,225.266468154539,1,0,"hr0",4.16905749401482,0.114536114781882,1628.84833548992,4.0887,52.6983093913081,7,0.127598812085492
1,"med","grp",5,"REM",100,50,1784,2.25021132874176,0.29392752711202,NA,NA,393,3.93,5.081666393353,1.01808785529716,0.13344173606733,2,9815.86340269392,217.965262146099,1,0,"hr0",4.14340571958233,0.115707620518402,1549.25145367907,3.8907,52.4555031461286,7,0.133474562712796
1,"hi","grp",100,"REM",25,50,6117,38.1263839827314,5.23107193168827,NA,NA,672,26.88,17.5815243935217,1.96811594202899,1.7952207833403,12,4867.51265698475,86.0021468385304,1,0,"hr0",3.37297623437009,0.18414275592454,2990.84563032652,25.8048,58.2892219294681,7,0.086739913585518
1,"hi","grp",20,"REM",25,50,6065,32.921068684987,5.74856366915561,NA,NA,697,27.88,24.8131685468288,1.25438596491228,0.624786831960647,6,4611.62223102737,80.2232554496747,1,0,"hr0",4.27643469413731,0.122894170347182,3027.42490047132,26.7648,138.849940127128,7,0.199210817972924
1,"hi","sol",NA,"REM",25,50,3415,17.8440056892518,2.97901792008829,NA,NA,391,15.64,13.0731276543399,1,0,1,5012.18188420707,91.9049261132879,1,0,"hr0",4.07224873442125,0.144169541154726,1624.90682417675,15.0144,53.5268300345615,7,0.136897263515503
1,"hi","grp",20,"REM",100,50,18481,27.4484228643933,3.13564212417293,NA,NA,2160,21.6,24.0386893540098,1.19286871961102,0.525123340517391,5,4909.12541388638,47.4193446873258,1,0,"hr0",3.73292231477593,0.0734668287445986,9328.07825539213,21.384,282.872449243746,7,0.130959467242475
1,"hi","sol",NA,"REM",100,50,19562,25.2396899667893,2.54780342241002,NA,NA,2328,23.28,23.5578291260318,1.00291909924937,0.0539610263769036,2,4950.24513908718,40.7397485341091,1,0,"hr0",4.33899328337273,0.0576030292206686,9813.45650663881,23.0472,450.103499592684,7,0.193343427660088
1,"hi","grp",100,"REM",100,50,23004,39.6240044900442,2.86663881777684,NA,NA,2619,26.19,16.6610263183214,1.75198938992042,1.57898525868152,14,4881.29383564544,41.9629899696537,1,0,"hr0",3.15325364683055,0.103322011158108,11765.6868432717,25.9281,208.526498063985,7,0.0796206559999943
2,"hi","sol",NA,"REM",25,50,3324,16.5382047033627,3.07017222398464,NA,NA,424,16.96,16.2236452952679,1,0,1,5074.72588251745,93.8630531630627,1,0,"hr0",4.70588836315639,0.132506093068105,1808.52138666226,16.2816,119.271996398373,7,0.281301878298049
2,"med","sol",NA,"REM",100,50,2076,3.01462782739883,0.345032475727207,NA,NA,446,4.46,4.78300864698902,1,0,1,10181.6971849255,199.56797764841,1,0,"hr0",3.38374558634917,0.121416787950453,1812.78989788669,4.4154,93.94479595784,7,0.210638555959283
2,"lo","sol",NA,"REM",25,50,28,0.0681413219743154,0.0374978531794525,NA,NA,6,0.24,0.522812904711937,1,0,1,18350.489734692,3652.17459793918,1,0,"hr0",4.46961125076838,1.29167912388195,22.5158842152146,0.2304,4.72828935836387,7,0.788048226393978
2,"med","grp",5,"REM",100,50,1729,2.22376046461006,0.235461052958444,NA,NA,375,3.75,3.73185847491135,1.03252032520325,0.177618271202912,2,10069.1038478428,241.607977358297,1,0,"hr0",3.90004094669445,0.127099200078425,1486.25514852967,3.7125,42.2909269350575,7,0.112775805160153
